"Name (Last, First)",Notes & Questions,HLS Degree(s),Grad Date(s),Position / Role,Bio,Sources,Why Notable?,Why Controversial?,Date Done,Race,HLS Yearbook 3L Photograph,Notes (on Photograph),Gender,Party,Country
"Batts, Deborah Anne",,J.D.,1972,Judge,"b.1947 - d.2020

Radcliffe 1969; HLS '72. 

U.S. District Court Judge for the Southern District of New York 1994-2012; senior status 2012-2020.

AUSA 1979-1984. Associate or Adjunct Prof Fordham Law 1984-2020 (1st Black faculty member). First openly LGBT African-American judge. 

Key cases: Central Park Five civil case; she rejected NYC's motion to dismiss a lawsuit by the 5 defendants; NYC settled w/them for $41M. Terrorism: Sentenced a Bin Ladin advisor to life in prison after he admitted stabbing a prison guard. Oversaw civil suit against Christine Todd Whitman, head of EPA accused of misleading public about risk of toxic air pollution after 9/11; found CTW had made statements so misleading, they were “conscience-shocking""; but app ct dismissed suit in 2008. At time of Batts' death, she was slated to preside over embezzlement trial of Michael Avenatti, accused of swindling $300,000 from client Stormy Daniels. ","wiki: https://en.wikipedia.org/wiki/Deborah_Batts   NYT obit: https://www.nytimes.com/2020/02/05/nyregion/deborah-batts-dead.html
http://www.thehistorymakers.org/biography/honorable-deborah-batts",Associate or Adjunct Prof Fordham Law 1984-2020 (1st Black faculty member). First openly LGBT African-American judge. Key cases: Central Park Five civil case; she rejected NYC's motion to dismiss a lawsuit by the 5 defendants; NYC settled w/them for $41M.,,9.7.2021,Black,,,Female,,USA
"Caspersen, Finn M.W. ",,LL.B.,1966,"Business,Philanthropist","b.1941 - d.2009 Chairman and chief executive of Beneficial Corp. (consumer finance company) from 1976 to 1998 when it was bought by Household International, then ran Knickerbocker Management, a private financial management firm. Pioneer in the field of second mortgages and home equity loans. Philanthropist to Harvard and other schools, rowing, equestrian sports. Major Republican donor. Tax evasion investigations included an IRS audit for 2005-2008 focusing on his offshore accounts. In 2013, IRS exonerated FC posthumously w/no penalties or fines. Town Commissioner in Jupiter Island, FL.     Suicide by gunshot in 2009. HLS connections: Member, Dean's Advisory Board. Caspersen Student Center & HLSL's Caspersen Room named after him. Controversy over the naming arose when news of the IRS audit was made public. Endowed 2 HLS professorships: Beneficial and Finn MW Caspersen and Household International. 2003 Chair of HLS's capital campaign, and pledged $30M, the largest single donation in HLS history. All 4 of his sons graduated HLS; their admission was criticized in a book by journalist and H alum Daniel Golden criticizing the role of privilege and wealth in elite college admissions.",Wiki: https://en.wikipedia.org/wiki/Finn_M._W._Caspersen ,"Philanthropist to Harvard and other schools, rowing, equestrian sports. Major Republican donor. Town Commissioner in Jupiter Island, FL.  HLS connections: Member, Dean's Advisory Board. Caspersen Student Center & HLSL's Caspersen Room named after him. Controversy over the naming arose when news of the IRS audit was made public. Endowed 2 HLS professorships: Beneficial and Finn MW Caspersen and Household International. 2003 Chair of HLS's capital campaign, and pledged $30M, the largest single donation in HLS history.","Tax evasion investigations included an IRS audit for 2005-2008 focusing on his offshore accounts. In 2013, IRS exonerated FC posthumously w/no penalties or fines.   HLS connections: Caspersen Student Center & HLSL's Caspersen Room named after him. Controversy over the naming arose when news of the IRS audit was made public. Endowed 2 HLS professorships: Beneficial and Finn MW Caspersen and Household International. 2003 Chair of HLS's capital campaign, and pledged $30M, the largest single donation in HLS history. All 4 of his sons graduated HLS; their admission was criticized in a book by journalist and H alum Daniel Golden criticizing the role of privilege and wealth in elite college admissions.",9.7.2021,White,,,Male,R,USA
"Kuehl, Sheila ",,J.D.,1978,Politics,b. 1941,"Wiki: https://en.wikipedia.org/wiki/Sheila_Kuehl
https://harvardjlg.com/the-journal/",,,,White,,,Female,D,USA
"Estrich, Susan ",,J.D.,1977,"Politics,Law Firm",b. 1952,https://en.wikipedia.org/wiki/Susan_Estrich,,,,White,,,Female,D,USA
"Obama, Barack",,J.D.,1991,Politics,"In 1990, Barack Obama was elected as the first Black president of the Harvard Law Review. Obama, who graduated from HLS in 1991, would later represent Illinois in the U.S Senate, and in 2008 would become the 44th President of the United States, and the first African-American president.",https://en.wikipedia.org/wiki/Barack_Obama,,,,"Black (Mixed, Kenyan, White)",,,Male,D,USA
"Obama, Michelle Robinson ",,J.D.,1988,Politics,HLS Alum and first African-American First Lady,https://en.wikipedia.org/wiki/Michelle_Obama,,,,Black,,,Female,D,USA
"Sewell, Terri",,J.D.,1992,Politics,first Black woman to serve in Congress from the state of Alabama,https://today.law.harvard.edu/feature/leading-women/,,,,Black,,,Female,D,USA
"Robinson, Mary ",,LL.M.,1968,Politics,"1990, first woman president of Ireland",https://en.wikipedia.org/wiki/Mary_Robinson,,,,White,,,Female,Independent,Ireland
"Duong, Wendy N. ",https://books.google.com/books?id=3AxIAgAAQBAJ&pg=PA353&lpg=PA353&dq=Wendy+Duong+%26+Harvard+law+school&source=bl&ots=_2m_PT1XUo&sig=ACfU3U2m6I5_utbobZ9IhWI0tQyK7ERQ0Q&hl=en&sa=X&ved=2ahUKEwi9w4L9xuniAhVLU98KHedjAOU4ChDoATAIegQICBAB#v=onepage&q=Wendy%20Duong%20%26%20Harvard%20law%20school&f=false,LL.M.,1999,Judge,First Vietnamese American to be appointed a judge in the United States in 1992.,https://en.wikipedia.org/wiki/Wendy_Duong,,,,Asian (Vietnamese),,,Female,,"USA, Vietnam"
"Montoya, Margaret ",,J.D.,1978,,"The documentary tells the story of Margaret Montoya, the first Latina to be admitted to Harvard Law School. The documentary celebrates her admissions, sustained leadership, and consistent commitment to civil rights, racial justice and health equity.",https://news.unm.edu/news/documentary-featuring-margaret-montoya-highlights-first-latina-admitted-to-harvard-law-school,,,,Hispanic,,,Female,,USA
"Girma, Haben  ",,J.D.,2013,Activist,"b. 1988.   First deaf-blind graduate of Harvard Law School, 2013.   Disability rights activist advocating for accessible digital services.   2013-16: Member of Disability Rights Advocates, Berkeley, CA.   2016-present: Full-time non-litigation disability rights activist, speaker, consultant.   2019: Author of memoir, ""Haben: The Deafblind Woman Who Conquered Harvard Law"".   Select speeches: TED talk; White House commemoration of ADA's 25th anniversary with Obama/Biden","https://en.wikipedia.org/wiki/Haben_Girma, 
https://habengirma.com/","First deafblind HLS graduate, 2013",,16.7.2021,"Black (Ethiopian, Eritrean)",,,Female,,USA
"Redding, Louis Lorenzo ",Louis Lorenzo Redding.    https://Blackthen.com/louis-lorenzo-redding-prominent-lawyer-and-civil-rights-advocate/,LL.B.,1928,"Public Interest Law,Activist","A 1928 HLS graduate, Redding became the first African American lawyer in Delaware in 1929. He was a champion of civil rights in Delaware and nationally, serving as part of the NAACP legal team that challenged school segretation in Brown v. Board of Education",https://en.wikipedia.org/wiki/Louis_L._Redding,,,,Black,,,Male,,USA
"Fawcett, F. Conger ","Graduated in 1962 check the yearbooks, Miranda v. Arizona",LL.B.,1962,"Law Firm,Public Interest Law",,https://www.legacy.com/us/obituaries/marinij/name/frank-fawcett-obituary?pid=156083625,,,,White,,,Male,,USA
"Clement, Paul ","Not sure how we'll incoprorate this but it's awesome, and could be truncated to suit our needs.  He's politically diverse, and has been on three out of the 25 landmark cases that made my list.  United States v. Windsor, District of Columbia v. Heller, National Federation of Independent Business v. Sebelius . [REVISED - DON'T RECOMMEND, NOT REALLY FOR THE RESPONDENT ON WINDSOR]",J.D.,1992,Public Interest Law,Paul Clement ,https://today.law.harvard.edu/200-years-countless-stories-paul-clement/,,,,White,,,Male,,USA
"Driemeir, Douglas H. ","Graduated in 1994; Supervising Editor of the Harvard Law Review; Check the Yearbooks, Obergefell v. Hodges.  He appears in the 1993 yearbook.  We can use that photo.  https://www.ropesgray.com/en/biographies/h/douglas-hallward-driemeier",J.D.,1994,Public Interest Law,"1994 HLS graduate, Douglas Hallward-Driemeir argued before the Supreme Court in Obergefell v. Hodges, the landmark case which secured marriage equality across the United States.  Driemeir argued that marriages valid in one state must be recognized as valid by other states. ",https://www.ropesgray.com/en/biographies/h/douglas-hallward-driemeier,,,,White,,,Male,,USA
"Nader, Ralph",,LL.B.,1958,"Politics,Activist",,"https://en.wikipedia.org/wiki/Ralph_Nader,
https://psmag.com/news/the-essential-ralph-nader",,,,White (Lebanese),,,Male,"Green, Reform, I",USA
"Hauser, Rita ",,attended; did not graduate,1955-56,Public Interest Law,"Rita Hauser - US AMBA@sador to UN, Human Rights Council ","https://en.wikipedia.org/wiki/Rita_Hauser
HLS Student in 1955-56 but did not earn degree)",,,,White (Jewish),,,Female,R,USA
"Lynch, Loretta ",,J.D.,1984,Politics,"When she was appointed the 83rd attorney general of the United States in 2015, Lynch became the first African-American woman to hold the office.",https://en.wikipedia.org/wiki/Loretta_Lynch,,,,Black,,,Male,D,USA
"Branch, Ethel ",https://www.law360.com/articles/1148554/navajo-nation-ag-rejoins-kanji-katzen-to-lead-ariz-office   http://www.kanjikatzen.com/ethel-branch-former-navajo-nation-attorney-general-to-return-to-kanji-katzen-and-lead-flagstaff-office/,J.D.,2008,Public Interest Law,Ethel Branch '08 served as Navajo Nation Attorney General from 2015-2019.,https://today.law.harvard.edu/feature/branch-returns-navajo-roots/,,,,American Indian (Navajo),,,Female,,USA
"Strode, Blake ",,J.D.,2015,Public Interest Law,"Blake Strode '15 is the executive director of nonprofit civil rights firm ArchCity Defenders, based in St. Louis, Missouri.",https://today.law.harvard.edu/no-crime-poor/,,,,Black,,,Male,,USA
"Reyes, Natalie Trigo ",,J.D.,2019,Public Interest Law,,https://today.law.harvard.edu/on-a-mission/,,,,Hispanic (Puerto Rico),,,Female,,USA
"Crespo, Andrew ",,J.D.,2008,"Public Interest Law,Educator",Natalie Trigo Reyes ’19 organized legal and humanitarian aid in Puerto Rico following Hurricaine Maria.,"https://today.law.harvard.edu/on-a-mission/
https://www.thecrimson.com/article/2021/4/23/long-struggle-for-hls-representation/",,,,Hispanic,,,Male,,USA
"Nalunkuma,  Susan Mirembe",,LL.M.,2015,"Public Interest Law,Activist",,https://today.law.harvard.edu/ll-m-s-for-lgbt-rights/,,,,Black (Ugandan),,,Female,,Uganda
"Akullo, Godiva ",https://www.the-isla.org/our-staff/susan-mirembe-nalunkuma/   https://ug.linkedin.com/in/godiva-monica-akullo-0941371a    Godiva worked for us at the circulation desk during her @LL.M.@ year!,LL.M.,2015,"Public Interest Law,Activist",Susan Mirembe Nalunkuma @LL.M.@ ’15 and Godiva Akullo @LL.M.@ ’15 are LGBT and feminist activists in Uganda.,https://today.law.harvard.edu/ll-m-s-for-lgbt-rights/,,,,Black (Ugandan),,,Female,,Uganda
"Stevenson, Bryan ",,J.D.,1985,Public Interest Law,"Bryan Stevenson is the founder and executive director of the Equal Justice Initiative, the organization behind the National Memorial for Peace and Justice and The Legacy Museum in Montgomery Alabama.",See video for possible quotes: https://today.law.harvard.edu/bryan-stevenson-85-we-cant-recover-from-this-history-until-we-deal-with-it/,,,,Black,,,Male,,USA
"Fong, Hiram ",,LL.B.,1935,Politics,"Fong was the first HLS Asian American graduate and first U.S. Senator of Asian ancestry, when he represented Hawaii after its admisison to the Union.",https://en.wikipedia.org/wiki/Hiram_Fong,,,,Asian (Chinese),,,Male,R,"USA, Hawaiian Kingdom"
