name,race
"Batts, Deborah Anne",Black
"Caspersen, Finn M.W.",White
"Kuehl, Sheila",White
"Estrich, Susan",White
"Obama, Barack",Black
"Obama, Michelle Robinson",Black
"Sewell, Terri",Black
"Robinson, Mary",White
"Duong, Wendy N.",Asian
"Montoya, Margaret",Hispanic
"Girma, Haben",Black
"Redding, Louis Lorenzo",Black
"Fawcett, F. Conger",White
"Clement, Paul",White
"Driemeir, Douglas H.",White
"Nader, Ralph",White
"Hauser, Rita",White
"Lynch, Loretta",Black
"Branch, Ethel",American
"Strode, Blake",Black
"Reyes, Natalie Trigo",Hispanic
"Crespo, Andrew",Hispanic
"Nalunkuma,  Susan Mirembe",Black
"Akullo, Godiva",Black
"Stevenson, Bryan",Black
"Fong, Hiram",Asian
"Chao, Tien Lin  (赵天麟）",Asian
"Cheung, Andrew  (張舉能)",Asian
"Sangay, Lobsang",Asian
"Corona, Renato",Asian
"Ying-jeou, Ma  (馬英九)",Asian
"Kaneko, Kentaro  (金子 堅太郎)",Asian
"Chang, Fu-yun  (张福运)",Asian
"Bo, Li  (李波）",Asian
"Gersen, Jeannie Suk",Asian
"Fenwick, Lila A.",Black
"Lopez, Henry (Hank)",Hispanic
"Richards, Judith Hope",White
"Umana, Imelme",Black
"Coleman, William T.",Black
"Blades, Rubén",Hispanic
"Davis, Clive",White
"Wu, Michelle",Asian
"Chu, Morgan",Asian
"Docherty, Bonnie",White
"Richardson, Julieanna",Black
"Coomaraswamy, Radhika",Asian
"Pillay, Navi",Asian
"MacLeish, Archibald",White
"Chenault, Kenneth",Black
"Romney, Mitt",White
"Vilá, Aníbal Acevedo",Hispanic
"Power, Samantha",White
"Reno, Janet",White
"Oposa, Antonio, Jr.",Asian
"Grossman, David",White
"Fleschner, Kristin",White
"Raggi, Reena",White
"Saeed, Faiza",Asian
"Murthy, Sheela",Asian
"Zoellick,  Robert B.",White
"Ngcobo, Sandile",Black
"Frank, Barney",White
"Behrendt, Larissa",Aboriginal
"Weld, William",White
"Silberman, Laurence",White
"Stern, Todd",White
"Sarbanes, John",White
"Davis, Wendy",White
"Elorza, Jorge",Hispanic
"Schroeder, Pat",White
"Harman, Jane",White
"Dukakis, Michael",White
"Babbitt, Bruce",White
"Trope, Jack F.",NA
"Califano, Joseph",White
"Holton, Anne",White
"Lee, Debra L.",Black
"Lenaerts, Koen",White
"Levin, Carl",White
"Lu, Annette",Asian
"Flom, Joseph",White
"Miller, Paul Steven",White
"Fields, Bert",White
"Gergen, David",White
"Bunche, Ralph",Black
"Robinson, Randall",Black
"Martins, Mark",White
"Bok, Derek",White
"Ferencz, Benjamin B.",White
"Wells, Theodore V., Jr.",Black
"Leighton, George N.",Black
"Edwards, Dennis, Jr.
",Black
"Sugarmon, Russell B.,  Jr.",Black
"Newman, Theodore R., Jr.",Black
"Rogers, Judith W.",Black
"Mack Bell, Robert",Black
"Boykin, Ulysses W.",Black
"Pierce, Rudolph F.",Black
"Jackson, Marie Oliver",Black
"Kennedy, Henry H., Jr.",Black
"Sherrod, Theodore Roosevelt, Jr.",Black
"Robinson, Rene Townsend",Black
"Spencer, James Randolph",Black
"Gibbs, Julia Dobbs",Black
"Dempsey, Alford J., Jr.",Black
"McCoy, Henry W.",Black
"Jones, Abraham P.",Black
"Kuntz, William F.,  II",Black
"Young, Robert P., Jr.",Black
"Fisher, Fern A.",Black
"Jackson, William McKinley",Black
"Leroy, Jacques C.",Black
"Bush, Zoe A.",Black
"Motley, Thomas J.",Black
"Moyé, Eric V.",Black
"White, Gary J.",Black
"Getachew-Smith, David K.",Black
"Coffee, Lee V.",Black
"Greenaway, Joseph A., Jr.",Black
"Burrell, Sharon V.",Black
"Swain, Laura Taylor",Black
"Reed, Robert Raymond",Black
"Hardwick, Lisa White",Black
"Freeman-Wilson, Karen",Black
"Lawrence, Rick E.",Black
"Lucas, Eric Z.",Black
"Ross, Maurice A.",Black
"Broderick, Vernon Speede",Black
"Lovett, Willie J.,  Jr.",Black
"Bolden, Victor A.",Black
"Gomez, Curtis Vincent",Black
"Hanks, George C., Jr.",Black
"Wilkins, Robert Leon",Black
"Wright, Wilhelmina Marie",Black
"Barthwell, Sidney,  Jr.",Black
"Richard, Tynia D.",Black
"Budd, Kimberly S.",Black
"Gaffney, Donald F.",Black
"Casper, Denise Jefferson",Black
"Garnett, Sherilyn P. (Peace)",Black
"Jackson, Ketanji Brown",Black
"López, Andres W.",Hispanic
"Hernándes, Juanita C.",Hispanic
"Anzadula, Ricardo",Hispanic
"Montoya, Regina T.",Hispanic
"Acosta, Alexander",Hispanic
"Agusti, Fliberto",Hispanic
"Albarrán, Tammy",Hispanic
"Aldana, Raquel",Hispanic
"Aranza, Gilbert",Hispanic
"Arguello, Christine M.",Hispanic
"Avila, Jonathan D.",Hispanic
"Baeza, Mario L.","Hispanic,"
"Bonfiaz, John C.",Hispanic
"Campos, Roel C.",Hispanic
